DATAHORA	ALTURA
2006-06-30 19:38:00	1.7
2006-07-01 01:43:00	0.7
2006-07-01 08:00:00	1.7
2006-07-01 14:09:00	0.7
2006-07-01 20:09:00	1.6
2006-07-02 02:23:00	0.8
2006-07-02 08:58:00	1.7
2006-07-02 15:02:00	0.8
2006-07-02 21:00:00	1.6
2006-07-03 03:11:00	0.9
2006-07-03 10:08:00	1.6
2006-07-03 16:02:00	0.8
2006-07-03 21:56:00	1.6
2006-07-04 04:21:00	0.9
2006-07-04 11:17:00	1.6
2006-07-04 17:02:00	0.9
2006-07-04 22:58:00	1.6
2006-07-05 05:54:00	0.9
2006-07-05 12:19:00	1.6
2006-07-05 18:02:00	0.8
2006-07-06 00:00:00	1.7
2006-07-06 07:00:00	0.8
2006-07-06 13:09:00	1.6
2006-07-06 18:58:00	0.8
2006-07-07 01:00:00	1.8
2006-07-07 07:53:00	0.7
2006-07-07 14:00:00	1.7
2006-07-07 19:45:00	0.7
2006-07-08 01:47:00	1.9
2006-07-08 08:39:00	0.6
2006-07-08 14:45:00	1.8
2006-07-08 20:28:00	0.7
2006-07-09 02:32:00	2.0
2006-07-09 09:15:00	0.5
2006-07-09 15:23:00	1.9
2006-07-09 21:13:00	0.6
2006-07-10 03:17:00	2.1
2006-07-10 09:49:00	0.4
2006-07-10 16:02:00	2.0
2006-07-10 22:00:00	0.5
2006-07-11 04:04:00	2.2
2006-07-11 10:24:00	0.3
2006-07-11 16:39:00	2.1
2006-07-11 22:41:00	0.4
2006-07-12 04:49:00	2.3
2006-07-12 11:04:00	0.3
2006-07-12 17:15:00	2.1
2006-07-12 23:19:00	0.4
2006-07-13 05:32:00	2.3
2006-07-13 11:51:00	0.3
2006-07-13 17:58:00	2.2
2006-07-14 00:02:00	0.3
2006-07-14 06:15:00	2.3
2006-07-14 12:36:00	0.3
2006-07-14 18:47:00	2.2
2006-07-15 00:51:00	0.4
2006-07-15 07:00:00	2.2
2006-07-15 13:21:00	0.4
2006-07-15 19:39:00	2.1
2006-07-16 01:47:00	0.4
2006-07-16 07:53:00	2.1
2006-07-16 14:11:00	0.5
2006-07-16 20:39:00	2.0
2006-07-17 02:49:00	0.5
2006-07-17 08:53:00	2.0
2006-07-17 15:09:00	0.6
2006-07-17 21:49:00	1.9
2006-07-18 03:56:00	0.5
2006-07-18 09:58:00	1.9
2006-07-18 16:24:00	0.7
2006-07-18 23:02:00	1.9
2006-07-19 05:06:00	0.5
2006-07-19 11:13:00	1.8
2006-07-19 17:53:00	0.7
2006-07-20 00:11:00	1.9
2006-07-20 06:21:00	0.5
2006-07-20 12:43:00	1.8
2006-07-20 19:06:00	0.7
2006-07-21 01:15:00	2.0
2006-07-21 07:34:00	0.5
2006-07-21 13:58:00	1.9
2006-07-21 20:04:00	0.6
2006-07-22 02:11:00	2.0
2006-07-22 08:36:00	0.4
2006-07-22 14:58:00	1.9
2006-07-22 20:58:00	0.5
2006-07-23 03:02:00	2.1
2006-07-23 09:26:00	0.3
2006-07-23 15:47:00	2.0
2006-07-23 21:47:00	0.5
2006-07-24 03:51:00	2.1
2006-07-24 10:08:00	0.3
2006-07-24 16:24:00	2.0
2006-07-24 22:23:00	0.4
2006-07-25 04:28:00	2.1
2006-07-25 10:45:00	0.3
2006-07-25 16:56:00	2.0
2006-07-25 22:56:00	0.5
2006-07-26 05:04:00	2.1
2006-07-26 11:21:00	0.3
2006-07-26 17:28:00	2.0
2006-07-26 23:26:00	0.5
2006-07-27 05:34:00	2.0
2006-07-27 11:51:00	0.4
2006-07-27 18:00:00	1.9
2006-07-27 23:58:00	0.5
2006-07-28 06:02:00	2.0
2006-07-28 12:13:00	0.5
2006-07-28 18:23:00	1.8
2006-07-29 00:30:00	0.6
2006-07-29 06:41:00	1.9
2006-07-29 12:45:00	0.5
2006-07-29 18:45:00	1.8
2006-07-30 00:53:00	0.7
2006-07-30 07:15:00	1.8
2006-07-30 13:21:00	0.6
2006-07-30 19:13:00	1.8
2006-07-31 01:15:00	0.7
2006-07-31 07:41:00	1.7
2006-07-31 14:02:00	0.8
2006-07-31 19:58:00	1.7
2006-08-01 01:58:00	0.8
